Product_Identifier,Supermarket_Identifier,Product_Supermarket_Identifier,Product_Weight,Product_Fat_Content,Product_Shelf_Visibility,Product_Type,Product_Price,Supermarket_Opening_Year,Supermarket _Size,Supermarket_Location_Type,Supermarket_Type,Product_Supermarket_Sales
FDH24,CHUKWUDI017,FDH24_CHUKWUDI017,20.7,Low Fat,0.021552357,Baking Goods,392.57,2014,,Cluster 2,Supermarket Type1,7463.62
DRA59,CHUKWUDI046,DRA59_CHUKWUDI046,8.27,Normal Fat,0.127927931,Soft Drinks,462.23,2004,Small,Cluster 1,Supermarket Type1,11105.54
FDS14,CHUKWUDI045,FDS14_CHUKWUDI045,7.285,Low Fat,0.050065211,Dairy,393.57,2009,,Cluster 2,Supermarket Type1,5106.69
FDH27,CHUKWUDI010,FDH27_CHUKWUDI010,7.075,Low Fat,0.097660814,Dairy,354.53,2005,,Cluster 3,Grocery Store,359.53
FDC51,CHUKWUDI017,FDC51_CHUKWUDI017,10.895,Normal Fat,0.009676286,Dairy,307.18,2014,,Cluster 2,Supermarket Type1,8622.11
FDT24,CHUKWUDI013,FDT24_CHUKWUDI013,12.35,Normal Fat,0.185704641,Baking Goods,192.83,1994,High,Cluster 3,Supermarket Type1,5599.38
FDO57,CHUKWUDI019,FDO57_CHUKWUDI019,,Low Fat,0.19033746,Snack Foods,398.64,1992,Small,Cluster 1,Grocery Store,401.14
NCC43,CHUKWUDI017,NCC43_CHUKWUDI017,7.39,Low Fat,0.09330771300000001,Household,627.27,2014,,Cluster 2,Supermarket Type1,3765.1
FDZ52,CHUKWUDI018,FDZ52_CHUKWUDI018,19.2,Low Fat,0.100482186,Frozen Foods,279.72,2016,Medium,Cluster 3,Supermarket Type2,4169.57
NCK07,CHUKWUDI045,NCK07_CHUKWUDI045,10.65,Low Fat,0.048785427,Others,409.88,2009,,Cluster 2,Supermarket Type1,4111.32
FDI26,CHUKWUDI017,FDI26_CHUKWUDI017,5.94,Low Fat,0.035084073,Canned,441.09,2014,,Cluster 2,Supermarket Type1,5353.03
FDT14,CHUKWUDI018,FDT14_CHUKWUDI018,10.695,Normal Fat,0.128247408,Dairy,304.61,2016,Medium,Cluster 3,Supermarket Type2,5692.59
DRG03,CHUKWUDI027,DRG03_CHUKWUDI027,,Low Fat,0.061686402,Dairy,385.0,1992,Medium,Cluster 3,Supermarket Type3,13072.98
FDU59,CHUKWUDI049,FDU59_CHUKWUDI049,5.78,Low Fat,0.096536082,Breads,407.14,2006,Medium,Cluster 1,Supermarket Type1,8935.04
FDA02,CHUKWUDI027,FDA02_CHUKWUDI027,,Normal Fat,0.029578726,Dairy,358.95,1992,Medium,Cluster 3,Supermarket Type3,9391.11
FDP60,CHUKWUDI049,FDP60_CHUKWUDI049,17.35,Low Fat,0.056005781,Baking Goods,248.0,2006,Medium,Cluster 1,Supermarket Type1,3795.06
FDI41,CHUKWUDI019,FDI41_CHUKWUDI019,,Normal Fat,0.109003832,Frozen Foods,363.1,1992,Small,Cluster 1,Grocery Store,367.85
NCQ42,CHUKWUDI017,NCQ42_CHUKWUDI017,20.35,Low Fat,0.0,Household,312.92,2014,,Cluster 2,Supermarket Type1,4768.79
NCL17,CHUKWUDI017,NCL17_CHUKWUDI017,7.39,Low Fat,0.068163102,Health and Hygiene,351.2,2014,,Cluster 2,Supermarket Type1,6055.45
FDB23,CHUKWUDI017,FDB23_CHUKWUDI017,19.2,Normal Fat,0.005620213000000001,Starchy Foods,566.52,2014,,Cluster 2,Supermarket Type1,12978.11
FDJ21,CHUKWUDI013,FDJ21_CHUKWUDI013,16.7,Normal Fat,0.038496166,Snack Foods,368.78,1994,High,Cluster 3,Supermarket Type1,13851.97
DRG03,CHUKWUDI010,DRG03_CHUKWUDI010,14.5,Low Fat,0.103752817,Dairy,388.0,2005,,Cluster 3,Grocery Store,769.0
NCU17,CHUKWUDI049,NCU17_CHUKWUDI049,5.32,Low Fat,0.09302771800000001,Health and Hygiene,253.67,2006,Medium,Cluster 1,Supermarket Type1,7385.39
FDV22,CHUKWUDI010,FDV22_CHUKWUDI010,14.85,Normal Fat,0.016635488,Snack Foods,393.91,2005,,Cluster 3,Grocery Store,782.32
NCH29,CHUKWUDI013,NCH29_CHUKWUDI013,5.51,Low Fat,0.034445116,Health and Hygiene,239.68,1994,High,Cluster 3,Supermarket Type1,5382.99
NCM43,CHUKWUDI027,NCM43_CHUKWUDI027,,Low Fat,0.01938106,Others,410.8,1992,Medium,Cluster 3,Supermarket Type3,13865.29
FDX09,CHUKWUDI018,FDX09_CHUKWUDI018,9.0,Low Fat,0.065515067,Snack Foods,445.34,2016,Medium,Cluster 3,Supermarket Type2,2646.56
FDO60,CHUKWUDI013,FDO60_CHUKWUDI013,20.0,Low Fat,0.034340926,Baking Goods,113.52,1994,High,Cluster 3,Supermarket Type1,2453.47
FDY40,CHUKWUDI010,FDY40_CHUKWUDI010,15.5,Normal Fat,0.143670179,Frozen Foods,121.17,2005,,Cluster 3,Grocery Store,123.17
FDM40,CHUKWUDI046,FDM40_CHUKWUDI046,10.195,Low Fat,0.159936948,Frozen Foods,358.04,2004,Small,Cluster 1,Supermarket Type1,6381.69
FDX31,CHUKWUDI035,FDX31_CHUKWUDI035,20.35,Normal Fat,0.014822802,Fruits and Vegetables,585.24,2011,Small,Cluster 2,Supermarket Type1,6426.63
FDU01,CHUKWUDI017,FDU01_CHUKWUDI017,20.25,Normal Fat,0.012063121000000001,Canned,458.98,2014,,Cluster 2,Supermarket Type1,6015.5
FDJ21,CHUKWUDI027,FDJ21_CHUKWUDI027,,Normal Fat,0.038341653999999996,Snack Foods,365.53,1992,Medium,Cluster 3,Supermarket Type3,10571.24
NCW17,CHUKWUDI018,NCW17_CHUKWUDI018,18.0,Low Fat,0.019465205,Health and Hygiene,321.75,2016,Medium,Cluster 3,Supermarket Type2,6103.72
FDO39,CHUKWUDI018,FDO39_CHUKWUDI018,6.985,Normal Fat,0.137926458,Meat,461.9,2016,Medium,Cluster 3,Supermarket Type2,10106.84
FDS40,CHUKWUDI013,FDS40_CHUKWUDI013,15.35,Low Fat,0.014007727,Frozen Foods,95.8,1994,High,Cluster 3,Supermarket Type1,732.38
FDN03,CHUKWUDI019,FDN03_CHUKWUDI019,,Normal Fat,0.026420581000000002,Meat,627.35,1992,Small,Cluster 1,Grocery Store,2503.41
NCN26,CHUKWUDI013,NCN26_CHUKWUDI013,10.85,Low Fat,0.0,Household,297.7,1994,High,Cluster 3,Supermarket Type1,5859.04
FDI15,CHUKWUDI017,FDI15_CHUKWUDI017,13.8,Low Fat,0.14215211,Dairy,658.97,2014,,Cluster 2,Supermarket Type1,5962.24
FDA19,CHUKWUDI049,FDA19_CHUKWUDI049,7.52,Low Fat,0.055213208,Fruits and Vegetables,324.0,2006,Medium,Cluster 1,Supermarket Type1,1606.24
DRF49,CHUKWUDI018,DRF49_CHUKWUDI018,7.27,Low Fat,0.07136748,Soft Drinks,279.63,2016,Medium,Cluster 3,Supermarket Type2,5692.59
FDL33,CHUKWUDI035,FDL33_CHUKWUDI035,7.235,Low Fat,0.0,Snack Foods,493.11,2011,Small,Cluster 2,Supermarket Type1,5872.36
FDZ23,CHUKWUDI018,FDZ23_CHUKWUDI018,17.75,Normal Fat,0.067777778,Baking Goods,467.31,2016,Medium,Cluster 3,Supermarket Type2,7923.02
NCN18,CHUKWUDI013,NCN18_CHUKWUDI013,8.895,Low Fat,0.12461088599999999,Household,282.89,1994,High,Cluster 3,Supermarket Type1,10626.17
FDX58,CHUKWUDI049,FDX58_CHUKWUDI049,13.15,Low Fat,0.043831721,Snack Foods,460.49,2006,Medium,Cluster 1,Supermarket Type1,6866.06
FDT32,CHUKWUDI046,FDT32_CHUKWUDI046,19.0,Normal Fat,0.065633934,Fruits and Vegetables,466.3,2004,Small,Cluster 1,Supermarket Type1,5652.64
FDD10,CHUKWUDI035,FDD10_CHUKWUDI035,20.6,Normal Fat,0.0,Snack Foods,445.34,2011,Small,Cluster 2,Supermarket Type1,8921.72
FDF34,CHUKWUDI017,FDF34_CHUKWUDI017,9.3,Normal Fat,0.014098693,Snack Foods,494.27,2014,,Cluster 2,Supermarket Type1,8432.36
FDQ25,CHUKWUDI035,FDQ25_CHUKWUDI035,8.63,Normal Fat,0.028271345,Canned,426.36,2011,Small,Cluster 2,Supermarket Type1,5173.27
FDP03,CHUKWUDI017,FDP03_CHUKWUDI017,5.15,Normal Fat,0.0,Meat,307.35,2014,,Cluster 2,Supermarket Type1,5263.15
NCT42,CHUKWUDI046,NCT42_CHUKWUDI046,5.88,Low Fat,0.02488732,Household,368.85,2004,Small,Cluster 1,Supermarket Type1,6711.26
FDR01,CHUKWUDI045,FDR01_CHUKWUDI045,5.405,Normal Fat,0.053730029000000006,Canned,497.69,2009,,Cluster 2,Supermarket Type1,11944.45
NCZ30,CHUKWUDI017,NCZ30_CHUKWUDI017,6.59,Low Fat,0.0,Household,297.77,2014,,Cluster 2,Supermarket Type1,2410.2
FDU10,CHUKWUDI013,FDU10_CHUKWUDI013,10.1,Normal Fat,0.045653999,Snack Foods,89.21,1994,High,Cluster 3,Supermarket Type1,1584.6
FDP27,CHUKWUDI035,FDP27_CHUKWUDI035,8.155,Low Fat,0.11942805199999999,Meat,477.13,2011,Small,Cluster 2,Supermarket Type1,6166.97
FDN16,CHUKWUDI049,FDN16_CHUKWUDI049,12.6,Normal Fat,0.062797771,Frozen Foods,260.0,2006,Medium,Cluster 1,Supermarket Type1,2063.98
FDK44,CHUKWUDI017,FDK44_CHUKWUDI017,16.6,Low Fat,0.122918852,Fruits and Vegetables,432.68,2014,,Cluster 2,Supermarket Type1,9557.56
NCN06,CHUKWUDI035,NCN06_CHUKWUDI035,8.39,Low Fat,0.120474481,Household,413.97,2011,Small,Cluster 2,Supermarket Type1,4913.6
FDW02,CHUKWUDI013,FDW02_CHUKWUDI013,4.805,Normal Fat,0.037668051,Dairy,316.93,1994,High,Cluster 3,Supermarket Type1,6571.45
FDX33,CHUKWUDI046,FDX33_CHUKWUDI046,9.195,Normal Fat,0.11748483400000001,Snack Foods,396.39,2004,Small,Cluster 1,Supermarket Type1,6017.17
FDU57,CHUKWUDI046,FDU57_CHUKWUDI046,8.27,Normal Fat,0.089554186,Snack Foods,377.18,2004,Small,Cluster 1,Supermarket Type1,6018.83
FDG02,CHUKWUDI018,FDG02_CHUKWUDI018,7.855,Low Fat,0.011307038,Canned,471.3,2016,Medium,Cluster 3,Supermarket Type2,2380.24
FDV44,CHUKWUDI046,FDV44_CHUKWUDI046,8.365,Normal Fat,0.039844429,Fruits and Vegetables,475.3,2004,Small,Cluster 1,Supermarket Type1,4760.47
FDS48,CHUKWUDI013,FDS48_CHUKWUDI013,15.15,Low Fat,0.027756137,Baking Goods,376.18,1994,High,Cluster 3,Supermarket Type1,5266.48
FDR21,CHUKWUDI046,FDR21_CHUKWUDI046,19.7,Low Fat,0.066935459,Snack Foods,443.84,2004,Small,Cluster 1,Supermarket Type1,7939.67
NCP54,CHUKWUDI018,NCP54_CHUKWUDI018,15.35,Low Fat,0.035292855,Household,311.43,2016,Medium,Cluster 3,Supermarket Type2,4003.12
FDS11,CHUKWUDI035,FDS11_CHUKWUDI035,7.05,Normal Fat,0.055548003,Breads,563.27,2011,Small,Cluster 2,Supermarket Type1,14541.07
FDS01,CHUKWUDI046,FDS01_CHUKWUDI046,11.6,Low Fat,0.017744998999999997,Canned,444.92,2004,Small,Cluster 1,Supermarket Type1,3110.95
FDD52,CHUKWUDI046,FDD52_CHUKWUDI046,18.25,Normal Fat,0.18329488,Dairy,279.14,2004,Small,Cluster 1,Supermarket Type1,3845.0
FDN49,CHUKWUDI010,FDN49_CHUKWUDI010,17.25,Normal Fat,0.209600084,Breakfast,100.87,2005,,Cluster 3,Grocery Store,99.87
FDO58,CHUKWUDI035,FDO58_CHUKWUDI035,19.6,Low Fat,0.039569689,Snack Foods,414.88,2011,Small,Cluster 2,Supermarket Type1,6578.1
FDG33,CHUKWUDI035,FDG33_CHUKWUDI035,5.365,Normal Fat,0.140213762,Seafood,434.44,2011,Small,Cluster 2,Supermarket Type1,11594.91
FDV26,CHUKWUDI045,FDV26_CHUKWUDI045,20.25,Normal Fat,0.076314907,Dairy,491.95,2009,,Cluster 2,Supermarket Type1,6827.78
NCB06,CHUKWUDI010,NCB06_CHUKWUDI010,17.6,Low Fat,0.137807013,Health and Hygiene,404.48,2005,,Cluster 3,Grocery Store,399.48
NCU42,CHUKWUDI035,NCU42_CHUKWUDI035,9.0,Low Fat,0.019502965,Household,423.62,2011,Small,Cluster 2,Supermarket Type1,10527.96
DRK37,CHUKWUDI046,DRK37_CHUKWUDI046,5.0,Low Fat,0.044004675,Soft Drinks,472.13,2004,Small,Cluster 1,Supermarket Type1,13757.09
FDR12,CHUKWUDI019,FDR12_CHUKWUDI019,,Normal Fat,0.055213280999999996,Baking Goods,431.19,1992,Small,Cluster 1,Grocery Store,1717.76
FDU15,CHUKWUDI013,FDU15_CHUKWUDI013,13.65,Normal Fat,0.026579951,Meat,86.88,1994,High,Cluster 3,Supermarket Type1,1707.78
FDN57,CHUKWUDI045,FDN57_CHUKWUDI045,18.25,Low Fat,0.054344185999999996,Snack Foods,350.54,2009,,Cluster 2,Supermarket Type1,4254.46
FDD14,CHUKWUDI049,FDD14_CHUKWUDI049,20.7,Low Fat,0.17007246199999998,Canned,459.57,2006,Medium,Cluster 1,Supermarket Type1,4610.67
FDY13,CHUKWUDI013,FDY13_CHUKWUDI013,12.1,Low Fat,0.030102335,Canned,186.92,1994,High,Cluster 3,Supermarket Type1,5551.11
FDS31,CHUKWUDI045,FDS31_CHUKWUDI045,13.1,Normal Fat,0.044281996,Fruits and Vegetables,446.33,2009,,Cluster 2,Supermarket Type1,7668.35
FDP48,CHUKWUDI017,FDP48_CHUKWUDI017,7.52,Normal Fat,0.044272226,Baking Goods,453.49,2014,,Cluster 2,Supermarket Type1,6408.33
NCO30,CHUKWUDI017,NCO30_CHUKWUDI017,19.5,Low Fat,0.01581384,Household,458.15,2014,,Cluster 2,Supermarket Type1,7350.43
FDR46,CHUKWUDI027,FDR46_CHUKWUDI027,,Low Fat,0.138742518,Snack Foods,368.69,1992,Medium,Cluster 3,Supermarket Type3,8422.37
NCP05,CHUKWUDI046,NCP05_CHUKWUDI046,19.6,Low Fat,0.025286582999999998,Health and Hygiene,379.51,2004,Small,Cluster 1,Supermarket Type1,3415.55
DRI23,CHUKWUDI017,DRI23_CHUKWUDI017,18.85,Low Fat,0.13797299300000002,Hard Drinks,396.14,2014,,Cluster 2,Supermarket Type1,3610.3
FDS39,CHUKWUDI013,FDS39_CHUKWUDI013,6.895,Low Fat,0.022441883,Meat,359.7,1994,High,Cluster 3,Supermarket Type1,6767.86
NCU53,CHUKWUDI035,NCU53_CHUKWUDI035,5.485,Low Fat,0.042743727999999995,Health and Hygiene,415.71,2011,Small,Cluster 2,Supermarket Type1,4973.53
FDZ16,CHUKWUDI017,FDZ16_CHUKWUDI017,16.85,Normal Fat,0.160760054,Frozen Foods,481.12,2014,,Cluster 2,Supermarket Type1,12109.24
NCE06,CHUKWUDI019,NCE06_CHUKWUDI019,,Low Fat,0.160178832,Household,400.72,1992,Small,Cluster 1,Grocery Store,808.95
NCD43,CHUKWUDI013,NCD43_CHUKWUDI013,8.85,Low Fat,0.016006626,Household,264.24,1994,High,Cluster 3,Supermarket Type1,525.98
FDZ21,CHUKWUDI049,FDZ21_CHUKWUDI049,17.6,Normal Fat,0.03928284,Snack Foods,236.6,2006,Medium,Cluster 1,Supermarket Type1,6999.22
NCM31,CHUKWUDI046,NCM31_CHUKWUDI046,6.095,Low Fat,0.081196619,Others,353.54,2004,Small,Cluster 1,Supermarket Type1,3545.39
FDS04,CHUKWUDI010,FDS04_CHUKWUDI010,10.195,Normal Fat,0.245483691,Frozen Foods,354.71,2005,,Cluster 3,Grocery Store,702.42
FDB02,CHUKWUDI035,FDB02_CHUKWUDI035,9.695,Normal Fat,0.029158762999999997,Canned,436.34,2011,Small,Cluster 2,Supermarket Type1,3087.65
FDC46,CHUKWUDI046,FDC46_CHUKWUDI046,17.7,Low Fat,0.116542484,Snack Foods,456.57,2004,Small,Cluster 1,Supermarket Type1,8760.26
FDQ57,CHUKWUDI027,FDQ57_CHUKWUDI027,,Low Fat,0.027812304,Snack Foods,368.69,1992,Medium,Cluster 3,Supermarket Type3,8422.37
FDW49,CHUKWUDI045,FDW49_CHUKWUDI045,19.5,Low Fat,0.082719632,Canned,448.25,2009,,Cluster 2,Supermarket Type1,7164.01
FDZ09,CHUKWUDI035,FDZ09_CHUKWUDI035,17.6,Low Fat,0.104859135,Snack Foods,404.72,2011,Small,Cluster 2,Supermarket Type1,10236.68
NCE07,CHUKWUDI046,NCE07_CHUKWUDI046,8.18,Low Fat,0.013130031,Household,356.54,2004,Small,Cluster 1,Supermarket Type1,1772.69
FDY31,CHUKWUDI045,FDY31_CHUKWUDI045,5.98,Low Fat,0.043651197999999995,Fruits and Vegetables,365.35,2009,,Cluster 2,Supermarket Type1,7724.94
FDX55,CHUKWUDI019,FDX55_CHUKWUDI019,,Low Fat,0.096658404,Fruits and Vegetables,542.29,1992,Small,Cluster 1,Grocery Store,544.29
FDP25,CHUKWUDI049,FDP25_CHUKWUDI049,15.2,Low Fat,0.021240491,Canned,542.46,2006,Medium,Cluster 1,Supermarket Type1,12011.03
FDW52,CHUKWUDI027,FDW52_CHUKWUDI027,,Normal Fat,0.037340835,Frozen Foods,407.88,1992,Medium,Cluster 3,Supermarket Type3,9867.16
NCQ29,CHUKWUDI017,NCQ29_CHUKWUDI017,12.0,Low Fat,0.0,Health and Hygiene,655.82,2014,,Cluster 2,Supermarket Type1,3904.92
DRP35,CHUKWUDI013,DRP35_CHUKWUDI013,18.85,Low Fat,0.09079168,Hard Drinks,317.83,1994,High,Cluster 3,Supermarket Type1,8948.35
FDC57,CHUKWUDI035,FDC57_CHUKWUDI035,20.1,Normal Fat,0.054584207,Fruits and Vegetables,483.46,2011,Small,Cluster 2,Supermarket Type1,10619.51
FDB46,CHUKWUDI018,FDB46_CHUKWUDI018,10.5,Normal Fat,0.09414582099999999,Snack Foods,527.06,2016,Medium,Cluster 3,Supermarket Type2,5293.11
FDR12,CHUKWUDI017,FDR12_CHUKWUDI017,12.6,Normal Fat,0.031713126,Baking Goods,431.44,2014,,Cluster 2,Supermarket Type1,2576.65
FDP33,CHUKWUDI017,FDP33_CHUKWUDI017,18.7,Ultra Low fat,0.08977721400000001,Snack Foods,641.17,2014,,Cluster 2,Supermarket Type1,13422.53
FDE24,CHUKWUDI035,FDE24_CHUKWUDI035,14.85,Low Fat,0.09344495,Baking Goods,352.7,2011,Small,Cluster 2,Supermarket Type1,2849.62
FDT31,CHUKWUDI018,FDT31_CHUKWUDI018,19.75,Low Fat,0.012499004,Fruits and Vegetables,470.22,2016,Medium,Cluster 3,Supermarket Type2,6145.33
DRE37,CHUKWUDI046,DRE37_CHUKWUDI046,13.5,Low Fat,0.094219593,Soft Drinks,474.97,2004,Small,Cluster 1,Supermarket Type1,3309.03
FDH24,CHUKWUDI046,FDH24_CHUKWUDI046,20.7,Low Fat,0.021431133999999998,Baking Goods,392.57,2004,Small,Cluster 1,Supermarket Type1,5499.51
DRO35,CHUKWUDI049,DRO35_CHUKWUDI049,13.85,Low Fat,0.034624103999999996,Hard Drinks,287.62,2006,Medium,Cluster 1,Supermarket Type1,10136.81
FDZ01,CHUKWUDI010,FDZ01_CHUKWUDI010,8.975,Normal Fat,0.01516265,Canned,254.75,2005,,Cluster 3,Grocery Store,258.0
NCK54,CHUKWUDI017,NCK54_CHUKWUDI017,12.15,Low Fat,0.0,Household,294.54,2014,,Cluster 2,Supermarket Type1,5825.75
FDP52,CHUKWUDI017,FDP52_CHUKWUDI017,18.7,Normal Fat,0.071091591,Frozen Foods,571.5,2014,,Cluster 2,Supermarket Type1,12059.3
NCB54,CHUKWUDI013,NCB54_CHUKWUDI013,8.76,Low Fat,0.050011058,Health and Hygiene,316.83,1994,High,Cluster 3,Supermarket Type1,1597.92
NCM31,CHUKWUDI017,NCM31_CHUKWUDI017,6.095,Low Fat,0.0816559,Others,358.29,2014,,Cluster 2,Supermarket Type1,7090.77
FDU38,CHUKWUDI027,FDU38_CHUKWUDI027,,Low Fat,0.082150145,Dairy,482.38,1992,Medium,Cluster 3,Supermarket Type3,18695.66
DRJ51,CHUKWUDI045,DRJ51_CHUKWUDI045,14.1,Low Fat,0.088172355,Dairy,580.67,2009,,Cluster 2,Supermarket Type1,10366.51
FDF40,CHUKWUDI017,FDF40_CHUKWUDI017,20.25,Normal Fat,0.022639471,Dairy,621.02,2014,,Cluster 2,Supermarket Type1,5602.71
FDE05,CHUKWUDI046,FDE05_CHUKWUDI046,10.895,Normal Fat,0.032454046,Frozen Foods,362.03,2004,Small,Cluster 1,Supermarket Type1,7655.04
FDN34,CHUKWUDI027,FDN34_CHUKWUDI027,,Normal Fat,0.045542627999999995,Snack Foods,426.78,1992,Medium,Cluster 3,Supermarket Type3,12260.71
FDF35,CHUKWUDI013,FDF35_CHUKWUDI013,15.0,Low Fat,0.15386118099999999,Starchy Foods,271.48,1994,High,Cluster 3,Supermarket Type1,3483.8
FDD04,CHUKWUDI049,FDD04_CHUKWUDI049,16.0,Low Fat,0.090111173,Dairy,353.29,2006,Medium,Cluster 1,Supermarket Type1,8154.39
DRD13,CHUKWUDI013,DRD13_CHUKWUDI013,15.0,Low Fat,0.049038621,Soft Drinks,163.54,1994,High,Cluster 3,Supermarket Type1,4154.59
FDY09,CHUKWUDI017,FDY09_CHUKWUDI017,15.6,Low Fat,0.025342692000000003,Snack Foods,435.76,2014,,Cluster 2,Supermarket Type1,4377.64
FDZ10,CHUKWUDI010,FDZ10_CHUKWUDI010,17.85,Low Fat,0.074422769,Snack Foods,320.01,2005,,Cluster 3,Grocery Store,632.51
NCD42,CHUKWUDI013,NCD42_CHUKWUDI013,16.5,Low Fat,0.012627329,Health and Hygiene,96.88,1994,High,Cluster 3,Supermarket Type1,1897.53
FDB09,CHUKWUDI049,FDB09_CHUKWUDI049,16.25,Low Fat,0.057485327999999995,Fruits and Vegetables,315.51,2006,Medium,Cluster 1,Supermarket Type1,4668.92
FDE36,CHUKWUDI018,FDE36_CHUKWUDI018,5.26,Normal Fat,0.041942548999999996,Baking Goods,413.72,2016,Medium,Cluster 3,Supermarket Type2,5732.54
FDS43,CHUKWUDI035,FDS43_CHUKWUDI035,11.65,Low Fat,0.040507228,Fruits and Vegetables,467.31,2011,Small,Cluster 2,Supermarket Type1,5592.72
DRI01,CHUKWUDI046,DRI01_CHUKWUDI046,7.97,Low Fat,0.034452949,Soft Drinks,435.11,2004,Small,Cluster 1,Supermarket Type1,6466.58
FDW43,CHUKWUDI049,FDW43_CHUKWUDI049,20.1,Normal Fat,0.022460102000000003,Fruits and Vegetables,567.01,2006,Medium,Cluster 1,Supermarket Type1,8538.89
FDZ36,CHUKWUDI035,FDZ36_CHUKWUDI035,6.035,Normal Fat,0.06577134400000001,Baking Goods,463.31,2011,Small,Cluster 2,Supermarket Type1,9321.2
FDK02,CHUKWUDI010,FDK02_CHUKWUDI010,12.5,Low Fat,0.187841082,Canned,298.11,2005,,Cluster 3,Grocery Store,299.61
NCL31,CHUKWUDI046,NCL31_CHUKWUDI046,7.39,Low Fat,0.120280989,Others,356.87,2004,Small,Cluster 1,Supermarket Type1,7873.09
FDN38,CHUKWUDI045,FDN38_CHUKWUDI045,6.615,Normal Fat,0.09215837699999999,Canned,627.85,2009,,Cluster 2,Supermarket Type1,8136.08
NCM31,CHUKWUDI045,NCM31_CHUKWUDI045,6.095,Low Fat,0.081361288,Others,354.79,2009,,Cluster 2,Supermarket Type1,6736.23
FDB53,CHUKWUDI027,FDB53_CHUKWUDI027,,Low Fat,0.138777108,Frozen Foods,368.85,1992,Medium,Cluster 3,Supermarket Type3,13049.68
FDV09,CHUKWUDI035,FDV09_CHUKWUDI035,12.1,Low Fat,0.020564685,Snack Foods,370.68,2011,Small,Cluster 2,Supermarket Type1,8166.04
FDN23,CHUKWUDI046,FDN23_CHUKWUDI046,6.575,Normal Fat,0.075507758,Breads,366.11,2004,Small,Cluster 1,Supermarket Type1,3991.47
FDE34,CHUKWUDI018,FDE34_CHUKWUDI018,9.195,Low Fat,0.10833090199999999,Snack Foods,459.16,2016,Medium,Cluster 3,Supermarket Type2,6816.13
FDA34,CHUKWUDI049,FDA34_CHUKWUDI049,11.5,Low Fat,0.014883661000000001,Starchy Foods,436.27,2006,Medium,Cluster 1,Supermarket Type1,9088.17
DRP35,CHUKWUDI046,DRP35_CHUKWUDI046,18.85,Low Fat,0.09086729699999999,Hard Drinks,318.33,2004,Small,Cluster 1,Supermarket Type1,9907.1
DRJ24,CHUKWUDI035,DRJ24_CHUKWUDI035,11.8,Low Fat,0.113307794,Soft Drinks,467.73,2011,Small,Cluster 2,Supermarket Type1,4627.31
NCS30,CHUKWUDI017,NCS30_CHUKWUDI017,5.945,Low Fat,0.0,Household,322.41,2014,,Cluster 2,Supermarket Type1,4520.78
NCP43,CHUKWUDI045,NCP43_CHUKWUDI045,17.75,Low Fat,0.030568919,Others,444.67,2009,,Cluster 2,Supermarket Type1,5842.4
FDZ31,CHUKWUDI046,FDZ31_CHUKWUDI046,15.35,Normal Fat,0.113217223,Fruits and Vegetables,477.88,2004,Small,Cluster 1,Supermarket Type1,4314.38
FDF52,CHUKWUDI049,FDF52_CHUKWUDI049,9.3,Low Fat,0.06688712299999999,Frozen Foods,459.82,2006,Medium,Cluster 1,Supermarket Type1,8209.31
FDP45,CHUKWUDI027,FDP45_CHUKWUDI027,,Normal Fat,0.030476541,Snack Foods,630.68,1992,Medium,Cluster 3,Supermarket Type3,12583.62
NCY18,CHUKWUDI017,NCY18_CHUKWUDI017,7.285,Low Fat,0.031327838999999996,Household,436.51,2014,,Cluster 2,Supermarket Type1,7441.98
FDS07,CHUKWUDI018,FDS07_CHUKWUDI018,12.35,Low Fat,0.100164204,Fruits and Vegetables,284.13,2016,Medium,Cluster 3,Supermarket Type2,3984.81
DRZ11,CHUKWUDI017,DRZ11_CHUKWUDI017,8.85,Normal Fat,0.11330222300000001,Soft Drinks,312.85,2014,,Cluster 2,Supermarket Type1,2786.37
FDU59,CHUKWUDI027,FDU59_CHUKWUDI027,,Low Fat,0.09591947199999999,Breads,406.64,1992,Medium,Cluster 3,Supermarket Type3,14214.83
FDC05,CHUKWUDI049,FDC05_CHUKWUDI049,13.1,Normal Fat,0.098938169,Frozen Foods,489.44,2006,Medium,Cluster 1,Supermarket Type1,10346.53
FDR22,CHUKWUDI046,FDR22_CHUKWUDI046,19.35,Normal Fat,0.018562604,Snack Foods,276.39,2004,Small,Cluster 1,Supermarket Type1,3914.9
FDZ55,CHUKWUDI046,FDZ55_CHUKWUDI046,6.055,Low Fat,0.025408702000000002,Fruits and Vegetables,402.23,2004,Small,Cluster 1,Supermarket Type1,5992.2
NCS05,CHUKWUDI013,NCS05_CHUKWUDI013,11.5,Low Fat,0.020960615,Health and Hygiene,333.24,1994,High,Cluster 3,Supermarket Type1,6624.71
FDT11,CHUKWUDI035,FDT11_CHUKWUDI035,5.94,Normal Fat,0.029366813,Breads,469.39,2011,Small,Cluster 2,Supermarket Type1,9387.78
FDB36,CHUKWUDI013,FDB36_CHUKWUDI013,5.465,Normal Fat,0.048486800999999996,Baking Goods,328.16,1994,High,Cluster 3,Supermarket Type1,8525.57
FDI45,CHUKWUDI017,FDI45_CHUKWUDI017,13.1,Low Fat,0.037793818,Fruits and Vegetables,434.51,2014,,Cluster 2,Supermarket Type1,7004.22
